"RouterFile","RouterPrefix","RouterTags","RouterDependencies","Method","CanonicalPath","LegacyPath","Handler","HandlerFile","EndpointDependencies","AllDependencies","AuthType","Roles","MiddlewareRelevant","RequestModels","ResponseModel","DbTablesTouched"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/notifications","/console/ui/notifications","console.ui_notifications","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1211","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices, licenses, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","POST","/api/v1/console/ui/notifications/{notification_id}/read","/console/ui/notifications/{notification_id}/read","console.ui_notification_mark_read","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1306","require_console_user","require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","",""
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/plans","/console/ui/plans","console.ui_list_plans","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1066","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","PlanListResponseExtended","plans"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","PUT","/api/v1/console/ui/plans/{plan_id}","/console/ui/plans/{plan_id}","console.ui_upsert_plan","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1092","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","PlanItemExtended","licenses, plans"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/preview","/console/ui/preview","console.ui_preview","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1504","get_db","get_db","None/Unknown","","legacy_deprecation_headers(on legacy path), CORS","","","devices, licenses, plans, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/search","/console/ui/search","console.ui_search","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1319","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices, licenses, telemetry_snapshots"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/server/containers","/console/ui/server/containers","console.ui_server_containers","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:946","require_console_user","require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","",""
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/server/host","/console/ui/server/host","console.ui_server_host","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:997","require_console_user","require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","",""
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/server/services","/console/ui/server/services","console.ui_server_services","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1434","require_console_user","require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","",""
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/telemetry","/console/ui/telemetry","console.ui_list_telemetry","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:476","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","devices, telemetry_snapshots"
